rank	word	frequency
1	og	32897
2	at	26784
3	i	26762
4	er	18203
5	en	16101
6	til	15458
7	af	15118
8	det	15067
9	på	14678
10	for	12499
11	med	11619
12	som	10813
13	der	10466
14	den	9787
15	de	9397
16	ikke	9333
17	var	8602
18	et	7995
19	har	7540
20	om	7040
21	jeg	6193
22	kan	5921
23	Det	5652
24	han	5295
25	så	5174
26	sig	4751
27	fra	4427
28	vi	4217
29	du	4045
30	havde	3850
31	hun	3777
32	men	3520
33	eller	3433
34	skal	3368
35	ved	3213
36	være	3152
37	Jeg	3141
38	man	3057
39	også	2956
40	hvor	2722
41	blev	2498
42	I	2481
43	ud	2444
44	over	2443
45	kunne	2382
46	mig	2347
47	vil	2338
48	op	2212
49	mere	1827
50	Han	1780
51	da	1763
52	noget	1753
53	Men	1752
54	efter	1741
55	selv	1714
56	sin	1708
57	meget	1678
58	når	1666
59	De	1614
60	år	1590
61	deres	1570
62	dem	1554
63	andre	1546
64	alle	1533
65	ind	1523
66	nu	1492
67	ville	1487
68	have	1482
69	få	1447
70	bliver	1438
71	Hun	1420
72	mange	1411
73	ham	1396
74	end	1386
75	Den	1382
76	hvis	1376
77	hvad	1355
78	Vi	1337
79	været	1323
80	Og	1315
81	skulle	1315
82	se	1300
83	hende	1288
84	min	1281
85	mod	1245
86	Der	1230
87	to	1212
88	os	1169
89	godt	1157
90	vores	1137
91	siger	1136
92	her	1124
93	hans	1119
94	kun	1107
95	helt	1060
96	blive	1037
97	lige	1036
98	Danmark	1034
99	hvordan	1033
100	En	1024
101	sammen	1006
102	mellem	997
103	sagde	990
104	første	981
105	dag	975
106	hendes	957
107	bare	952
108	kommer	948
109	dig	947
110	ned	947
111	hele	944
112	denne	909
113	fordi	900
114	gang	900
115	kom	899
116	din	895
117	uden	889
118	flere	869
119	lidt	867
120	under	866
121	gik	863
122	nye	862
123	alt	860
124	tid	856
125	andet	855
126	nogle	849
127	samme	822
128	fik	817
129	får	813
130	både	807
131	gøre	801
132	Hvis	800
133	store	799
134	gør	794
135	anden	786
136	siden	774
137	igen	771
138	blevet	766
139	går	747
140	tilbage	744
141	Du	743
142	jo	742
143	nok	742
144	før	732
145	Så	727
146	mens	725
147	For	709
148	komme	704
149	danske	698
150	frem	695
151	sit	682
152	derfor	681
153	gennem	670
154	må	670
155	del	669
156	dog	669
157	altid	668
158	lille	661
159	måde	658
160	ser	643
161	gå	642
162	forskellige	620
163	stadig	618
164	inden	612
165	tage	612
166	aldrig	610
167	sine	604
168	mennesker	591
169	børn	581
170	arbejde	579
171	ingen	576
172	dette	570
173	liv	564
174	På	561
175	tre	558
176	stor	555
177	verden	554
178	Hvad	552
179	forhold	541
180	endnu	539
181	står	530
182	Når	526
183	unge	525
184	sige	523
185	disse	521
186	omkring	520
187	blandt	519
