rank	word	frequency
1	der	27651
2	und	26795
3	die	26695
4	in	21730
5	dem	18264
6	zu	14681
7	den	10545
8	das	9967
9	von	9260
10	sich	8648
11	nicht	8231
12	mit	8060
13	ist	7904
14	auf	7625
15	sie	6609
16	ein	6409
17	an	6344
18	eine	6095
19	es	6033
20	für	5707
21	als	5431
22	des	5411
23	er	5201
24	ich	5150
25	Die	5004
26	auch	4993
27	dass	4819
28	war	4498
29	wie	4028
30	aus	3742
31	werden	3427
32	oder	3391
33	Sie	3355
34	bei	3226
35	einer	3124
36	so	3055
37	noch	2970
38	einen	2946
39	sind	2913
40	hat	2909
41	nach	2878
42	um	2860
43	wird	2833
44	hatte	2689
45	nur	2665
46	Das	2623
47	einem	2609
48	aber	2539
49	Ich	2520
50	über	2401
51	man	2350
52	In	2330
53	vor	2285
54	Der	2210
55	wir	2118
56	durch	2021
57	sein	1989
58	kann	1910
59	haben	1898
60	mehr	1858
61	Es	1845
62	wenn	1756
63	was	1735
64	mir	1645
65	mich	1642
66	Er	1608
67	immer	1550
68	können	1538
69	Und	1522
70	ihr	1519
71	dann	1428
72	wurde	1421
73	ihre	1386
74	wieder	1385
75	schon	1351
76	diese	1341
77	bis	1325
78	seine	1319
79	dieser	1212
80	ihm	1165
81	Menschen	1139
82	ihn	1131
83	du	1110
84	uns	1064
85	unter	1064
86	waren	1064
87	habe	1063
88	eines	1038
89	da	991
90	seiner	990
91	selbst	985
92	Zeit	965
93	Aber	947
94	sondern	944
95	doch	943
96	keine	926
97	sehr	917
98	etwas	913
99	hier	903
100	anderen	883
101	muss	869
102	alle	867
103	Ein	860
104	diesem	830
105	ganz	824
106	ihrer	824
107	gibt	820
108	damit	813
109	Leben	808
110	zwischen	807
111	viel	804
112	Jahren	796
113	weil	794
114	alles	788
115	gut	760
116	ihren	758
117	würde	754
118	Wir	738
119	Jahre	737
120	also	736
121	Eine	722
122	seinen	721
123	zwei	703
124	sei	700
125	jetzt	683
126	meine	680
127	wurden	677
128	konnte	663
129	gegen	659
130	So	657
131	seinem	654
132	Als	653
133	ohne	653
134	Wie	650
135	sagte	650
136	einmal	648
137	Was	639
138	ja	636
139	heute	633
140	andere	631
141	Wenn	629
142	ab	627
143	denn	624
144	geht	614
145	ersten	613
146	nichts	612
147	Auch	610
148	Welt	607
149	viele	602
150	sowie	596
151	Jahr	594
152	mal	593
153	bereits	583
154	Mit	578
155	lassen	578
156	seit	577
157	Für	575
158	ob	572
159	sollte	572
160	allem	571
161	hatten	568
162	dieses	564
163	dabei	563
164	Bei	562
165	machen	561
166	hätte	560
167	sagt	541
168	soll	541
169	Deutschland	540
170	nun	535
171	denen	534
172	Doch	531
173	Zu	529
174	etwa	525
175	erst	523
176	wäre	514
177	Diese	511
178	kein	509
179	An	508
180	müssen	506
181	bin	499
182	will	497
183	ihrem	494
184	Ende	491
185	jedoch	491
186	wollte	487
187	dazu	482
188	neue	481
189	diesen	478
190	gar	475
191	drei	474
192	Frau	472
193	mein	468
194	gewesen	463
195	gab	459
196	weiter	457
197	ihnen	454
198	gerade	453
199	Frage	451
200	wo	450
201	dort	440
202	einfach	440
203	später	433
204	Da	430
205	sogar	430
206	darauf	418
207	Mutter	416
208	Tag	416
209	Auf	414
210	oft	413
211	dafür	412
212	könnte	411
213	ging	407
214	kam	406
215	kommt	406
216	großen	402
217	lange	402
218	während	402
219	davon	399
220	Mann	398
221	beiden	396
222	kommen	396
223	neuen	395
224	Prozent	393
225	fast	393
226	weiß	392
227	nie	386
228	zwar	384
229	deren	382
230	Man	376
231	dich	373
232	wirklich	370
233	eigenen	369
234	tun	367
235	steht	366
236	Augen	364
237	Blick	364
238	lässt	364
239	kaum	363
240	Arbeit	362
241	meiner	362
242	Kinder	361
243	sah	357
244	Nach	354
245	musste	354
246	Dann	353
247	meinen	352
248	wenig	350
249	Du	349
250	Weg	348
251	vielleicht	348
252	Vater	347
253	dir	346
254	Denn	342
255	macht	342
256	welche	341
257	worden	340
258	%	339
259	sagen	339
260	liegt	337
261	letzten	335
262	zurück	335
263	Kopf	333
264	genau	332
265	paar	332
266	sehen	331
267	Wer	330
268	weniger	330
269	stehen	329
270	wollen	326
271	allen	324
272	Beispiel	323
273	besser	323
274	große	320
275	kleinen	320
276	Entwicklung	318
277	hin	318
278	vielen	318
279	Mal	317
280	wohl	317
281	Um	316
282	gehen	316
283	Eltern	315
284	Dabei	314
285	Hand	314
286	eigentlich	313
287	zusammen	313
288	geben	310
289	ließ	310
290	Frauen	309
291	wissen	309
292	allerdings	305
293	möglich	305
294	<figure>	304
295	stand	302
296	kleine	301
297	finden	300
298	erste	299
299	weit	299
300	Stadt	297
301	Teil	297
302	Geschichte	295
303	keinen	294
304	deutschen	293
305	dessen	291
306	Art	290
307	Fall	288
308	Von	288
309	natürlich	288
310	<footnote>	287
311	deutlich	286
312	Bild	284
313	dies	283
314	Ihr	280
315	unsere	278
316	Familie	277
317	gegenüber	277
318	gilt	277
319	Politik	276
320	hinter	276
321	neben	275
322	schnell	275
323	heißt	272
324	Seite	269
325	überhaupt	269
326	darüber	267
327	gleich	267
328	Ihre	266
329	jeder	266
330	daran	264
331	einige	263
332	kurz	263
333	meinem	263
334	Buch	261
335	Gesellschaft	261
336	fragte	261
337	sollen	260
338	Euro	259
339	vier	256
340	Haus	255
341	aller	255
342	besonders	255
343	eher	255
344	gemacht	255
345	Kind	253
346	Nicht	253
347	bleiben	253
348	Ja	252
349	Land	252
350	zeigt	251
351	Vor	248
352	allein	246
353	Fragen	242
354	anders	242
355	sicher	241
356	sieht	241
357	Wasser	239
358	jeden	239
359	Gesicht	236
360	Rolle	236
361	schließlich	236
362	weitere	236
363	würden	236
364	Unternehmen	235
365	Ziel	235
366	meisten	235
367	Nur	234
368	Tage	234
369	damals	234
370	klar	234
371	Geld	233
372	Dass	232
373	Tod	232
374	hinaus	232
375	sollten	232
376	zeigen	232
