rank	word	frequency
1	de	65894
2	le	32449
3	les	27642
4	à	27254
5	la	24864
6	et	20163
7	l'	17772
8	d'	14794
9	en	12736
10	un	12131
11	est	10384
12	une	10372
13	que	8398
14	dans	7922
15	qui	7455
16	pour	7439
17	a	6156
18	des	6149
19	pas	6120
20	il	6025
21	sur	5248
22	par	5125
23	plus	4967
24	se	4849
25	qu'	4841
26	ne	4738
27	s'	4492
28	son	4305
29	n'	4107
30	ce	3925
31	avec	3638
32	ou	3313
33	elle	3097
34	Il	2979
35	sa	2873
36	je	2810
37	sont	2710
38	comme	2688
39	Le	2602
40	ses	2442
41	La	2393
42	nous	2287
43	était	2267
44	mais	2224
45	Je	2051
46	lui	2036
47	Les	2034
48	tout	2018
49	on	1983
50	cette	1942
51	ont	1930
52	avait	1885
53	y	1829
54	leur	1819
55	fait	1781
56	être	1750
57	c'	1728
58	été	1710
59	même	1669
60	bien	1636
61	me	1630
62	vous	1575
63	L'	1544
64	ces	1477
65	si	1443
66	sans	1425
67	aussi	1418
68	deux	1401
69	ai	1397
70	Elle	1392
71	faire	1367
72	C'	1334
73	En	1300
74	ans	1264
75	j'	1263
76	entre	1260
77	où	1185
78	ils	1156
79	peut	1090
80	encore	1082
81	m'	1061
82	Mais	1051
83	%	1044
84	temps	1037
85	Et	1029
86	mon	978
87	très	972
88	dont	959
89	vie	940
90	peu	936
91	France	935
92	Un	935
93	autres	920
94	J'	916
95	autre	914
96	Ce	894
97	fois	875
98	On	871
99	tous	864
100	Pour	858
101	alors	858
102	Dans	852
103	avoir	848
104	avant	846
105	leurs	846
106	moins	834
107	monde	813
108	À	792
109	après	781
110	toujours	777
111	Une	776
112	depuis	759
113	notre	755
114	ma	734
115	ça	703
116	ainsi	689
117	non	680
118	jamais	678
119	suis	669
120	donc	664
121	rien	661
122	sous	648
123	quelques	647
124	tu	637
125	dit	625
126	années	619
127	quand	619
128	travail	613
129	va	612
130	trois	598
131	Si	595
132	chez	589
133	contre	585
134	moi	580
135	premier	570
136	trop	566
137	déjà	563
138	nos	558
139	faut	542
140	là	542
141	votre	541
142	Nous	532
143	cas	532
144	vers	530
145	Cette	529
146	toute	526
147	jour	525
148	place	521
149	cela	515
150	jusqu'	510
151	soit	508
152	mes	505
153	De	502
154	première	496
155	chaque	494
156	cet	481
157	enfants	478
158	mois	478
159	mère	477
160	également	476
161	puis	470
162	elles	460
163	souvent	460
164	plusieurs	459
165	père	459
166	toutes	458
167	homme	457
168	étaient	457
169	Ils	450
170	moment	447
171	jeune	444
172	personnes	443
173	compte	442
174	yeux	440
175	Paris	438
176	effet	432
177	femmes	432
178	l'on	429
179	petit	429
180	fin	428
181	grand	428
182	dire	426
183	femme	422
184	part	420
185	tête	420
186	famille	414
187	politique	414
188	grande	413
189	nouveau	413
190	partie	410
191	ni	406
192	Tu	400
193	beaucoup	400
194	histoire	398
195	voir	396
196	doit	391
197	car	390
198	jours	380
199	année	377
200	cours	376
201	ailleurs	375
202	reste	374
203	celle	371
204	pouvoir	371
205	selon	368
206	lors	366
207	ceux	365
208	devant	363
209	eau	363
210	enfant	363
211	eu	363
212	avons	362
213	notamment	362
214	celui	361
215	prendre	361
216	personne	359
217	-il	358
218	A	358
219	peuvent	358
220	sens	358
221	pays	356
222	face	355
223	pendant	354
224	avais	352
225	Des	351
226	mieux	349
227	point	349
228	avaient	348
229	sera	348
230	exemple	347
231	Ces	345
232	chose	344
233	nom	344
234	droit	343
235	aurait	340
236	façon	337
237	aujourd'hui	330
238	petite	330
239	autant	327
240	dernier	327
241	question	327
242	Comme	326
243	main	326
244	tant	325
245	côté	324
246	parce	324
247	porte	324
248	ensemble	322
249	nombre	322
250	maison	320
251	partir	320
252	seul	320
253	heures	319
254	D'	317
255	lieu	317
256	corps	315
257	quoi	312
258	quatre	310
259	manière	307
260	mal	305
261	parfois	305
262	voix	304
263	eux	302
264	ici	302
265	niveau	302
266	hommes	300
267	seule	300
268	certains	298
269	nuit	297
270	surtout	295
271	te	295
272	al.	294
273	jeunes	294
274	tard	293
275	autour	291
276	regard	291
277	-t-il	290
278	besoin	290
279	groupe	290
280	permet	290
281	juste	289
282	Tout	288
283	Vous	287
284	rapport	285
285	projet	284
286	près	283
287	loin	282
288	seulement	282
289	coup	281
290	nouvelle	281
291	air	278
292	forme	278
293	plutôt	278
294	français	277
295	parents	276
296	bon	275
297	savoir	275
298	Alors	274
299	Son	274
300	situation	274
301	dès	272
302	possible	271
303	euros	270
304	fille	270
305	santé	269
306	Quand	267
307	bonne	267
308	mettre	267
309	/	264
310	Après	264
311	afin	264
312	vos	263
313	passer	262
314	âge	262
315	mis	261
316	mise	259
317	pu	259
318	comment	257
319	lequel	257
320	quelque	257
321	vraiment	257
322	serait	256
323	ville	256
324	cœur	255
325	ministre	254
326	raison	254
327	t'	252
328	soir	251
329	début	250
330	-vous	246
331	guerre	246
332	passé	244
333	sein	244
334	heure	243
335	cinq	242
336	gens	241
337	public	241
338	-ce	240
339	peut-être	239
340	Avec	236
341	demande	235
342	minutes	234
343	assez	231
344	pourrait	231
345	sais	230
346	aller	229
347	type	229
348	Par	228
349	choix	227
350	doute	226
351	font	226
352	désormais	225
353	mort	225
354	pris	225
355	siècle	225
356	vu	225
357	époque	225
358	Cela	224
359	étais	223
360	sommes	222
361	-elle	221
362	lorsque	221
363	nombreux	221
364	an	220
365	fils	220
366	semble	220
367	société	220
368	vue	220
369	cadre	219
370	crise	218
371	longtemps	218
372	peine	217
373	chef	216
374	-là	215
375	abord	215
376	passe	215
377	rôle	215
378	agit	214
379	développement	214
380	idée	214
381	pourtant	214
382	vient	214
383	enfin	213
384	suite	213
385	bras	212
386	grâce	212
387	recherche	211
388	risque	211
389	choses	210
390	long	210
391	tour	210
392	visage	210
393	service	209
394	presque	208
395	simple	208
396	Français	207
397	amour	207
398	sait	207
399	-t-elle	206
400	sûr	206
401	production	205
402	propre	205
403	études	205
404	Depuis	204
405	esprit	204
406	laquelle	204
407	prix	204
408	Dieu	203
409	formation	203
410	loi	203
411	travers	203
412	dernière	202
413	analyse	201
414	ordre	201
415	rue	201
416	activité	200
417	nature	200
418	fut	199
419	peur	199
420	gouvernement	198
421	matin	198
422	nouvelles	198
423	Ainsi	197
424	général	197
425	données	196
426	mesure	195
427	gauche	194
428	système	194
429	article	193
430	donne	193
431	nationale	193
