rank	word	frequency
1	a	46354
2	an	42952
3	ar	26059
4	agus	25484
5	na	19924
6	go	15461
7	ag	14562
8	i	13336
9	le	10777
10	sé	10145
11	sin	7169
12	é	6764
13	is	6655
14	bhí	6393
15	sa	6028
16	in	5829
17	leis	5475
18	de	5362
19	seo	5113
20	mar	5089
21	raibh	4812
22	ina	4344
23	ach	4300
24	nó	4114
25	do	4106
26	atá	3668
27	ann	3386
28	bhfuil	3319
29	féin	3275
30	Bhí	3273
31	gur	3269
32	mé	3190
33	faoi	3156
34	as	3109
35	ó	3100
36	Tá	3031
37	sí	2983
38	eile	2963
39	chun	2892
40	nach	2863
41	aon	2645
42	den	2614
43	Is	2546
44	d’	2497
45	air	2483
46	Ní	2374
47	tá	2248
48	dá	2202
49	ná	2197
50	aige	2072
51	ní	2060
52	amach	1989
53	Ó	1987
54	An	1972
55	bheith	1972
56	don	1915
57	nuair	1871
58	siad	1857
59	san	1847
60	duine	1839
61	iad	1810
62	’	1802
63	mo	1793
64	chur	1720
65	acu	1719
66	á	1716
67	Gaeilge	1653
68	d'	1590
69	ba	1565
70	í	1531
71	chomh	1478
72	dhéanamh	1458
73	the	1458
74	gan	1430
75	isteach	1423
76	chuid	1394
77	lena	1380
78	rud	1358
79	tú	1356
80	mór	1345
81	maith	1340
82	‘	1338
83	Ach	1313
84	ón	1264
85	of	1241
86	níos	1204
87	gach	1173
88	Agus	1172
89	agam	1153
90	faoin	1143
91	sna	1121
92	dul	1107
93	lá	1089
94	dó	1088
95	liom	1069
96	amháin	1043
97	daoine	1033
98	idir	1030
99	dúirt	1027
100	Ba	1023
101	chéile	1023
102	chuir	999
103	dtí	997
104	trí	985
105	I	965
106	anois	954
107	mbeadh	941
108	chéad	896
109	fad	866
110	arsa	864
111	orthu	859
112	áit	840
113	cur	838
114	thug	829
115	aghaidh	824
116	thabhairt	823
117	mó	821
118	am	819
119	bith	817
120	alt	811
121	linn	802
122	uirthi	797
123	éis	797
124	réir	796
125	teanga	790
126	beag	777
127	nua	777
128	fáil	772
129	aici	770
130	tháinig	770
131	arís	768
132	Ar	764
133	scéal	754
134	orm	753
135	and	747
136	leith	747
137	muid	730
138	bheadh	722
139	freisin	718
140	fear	716
141	ceann	712
142	teacht	707
143	D’	696
144	D'	694
145	féidir	694
146	ansin	676
147	Mac	675
148	leo	675
