rank	word	frequency
1	է	35427
2	և	18875
3	էր	13349
4	ու	13283
5	որ	12845
6	են	12350
7	մի	5845
8	համար	4962
9	էլ	4849
10	իր	4376
11	էին	4250
12	հետ	3957
13	այն	3841
14	այդ	3829
15	եմ	3789
16	թե	3655
17	մեջ	3233
18	ես	3212
19	ոչ	2963
20	ինչ	2902
21	նաև	2747
22	մասին	2733
23	կամ	2583
24	վրա	2476
25	բայց	2461
26	այս	2444
27	չի	2414
28	շատ	2361
29	կարող	2344
30	մեր	2276
31	իսկ	2275
32	ավելի	2220
33	հետո	2104
34	նրա	2079
35	ինչպես	2072
36	այլ	2039
37	երբ	2036
38	նա	2033
39	ենք	1931
40	որը	1795
41	պետք	1744
42	մեծ	1722
43	միայն	1694
44	Հայաստանի	1654
45	քանի	1643
46	ինձ	1585
47	որոնք	1577
48	իրենց	1575
49	անգամ	1549
50	չէր	1510
51	եւ	1500
52	նոր	1485
53	իմ	1468
54	ի	1455
55	էի	1454
56	չէ	1439
57	ժամանակ	1417
58	արդեն	1345
59	կողմից	1274
60	մեկ	1267
61	բոլոր	1248
62	ամեն	1221
63	առաջին	1216
64	երկու	1186
65	որպես	1148
66	մոտ	1134
67	թ	1115
68	նրան	1115
69	ՀՀ	1107
70	Այս	1104
71	բան	1094
72	եթե	1093
73	առաջ	1084
74	դա	1078
75	չեն	1074
76	դուրս	1066
77	մենք	1063
78	Ես	1057
79	նրանց	1054
80	Նա	1047
81	հայ	1019
82	Այդ	976
83	նման	975
84	եղել	970
85	քաղաքական	970
86	մինչև	949
87	լավ	943
88	որի	931
89	սակայն	916
90	ընթացքում	911
91	ասաց	907
92	ասում	904
93	Բայց	897
94	ունի	894
95	տալիս	893
96	դեպքում	892
97	տարբեր	873
98	իրեն	860
99	էինք	857
100	որտեղ	851
101	հենց	819
102	Իսկ	801
103	Եվ	800
104	գալիս	792
105	մեկը	783
106	մեզ	764
107	դեռ	750
108	տարի	717
109	կյանքի	716
110	պետական	716
111	դեպի	699
112	ով	694
113	ուզում	687
114	Մի	685
115	տակ	676
116	կարելի	669
117	պիտի	669
118	որն	659
119	օր	655
120	հիմա	649
121	առանց	635
122	%	629
123	մարդկանց	628
124	ապա	626
125	չեմ	625
126	․	624
127	կարևոր	622
128	վերջին	621
129	ազգային	618
130	նույն	609
131	քիչ	605
132	ա	601
133	բարձր	596
134	զարգացման	594
135	տեղի	588
136	թվականի	586
137	հայկական	586
138	դրա	579
139	մարդիկ	575
140	միջազգային	572
141	կա	561
142	այնպես	560
143	այնքան	556
144	նրանք	554
145	Մենք	546
146	ամբողջ	544
147	հնարավոր	542
148	տեղ	541
149	ըստ	538
150	փոքր	536
151	քեզ	534
152	միջոցով	529
153	լինի	527
154	Եթե	524
155	դրանց	524
156	Հայաստանում	523
