rank	word	frequency
1	di	64651
2	il	37266
3	la	31626
4	a	27452
5	e	23947
6	in	21295
7	che	17837
8	i	13972
9	le	13650
10	da	11498
11	l’	11359
12	un	11167
13	per	10746
14	si	10090
15	è	9722
16	non	8023
17	una	7768
18	con	6983
19	gli	5863
20	su	4944
21	lo	4538
22	l'	4531
23	più	4440
24	come	3990
25	sono	3361
26	ha	3171
27	ma	2917
28	anche	2897
29	era	2824
30	mi	2690
31	La	2564
32	o	2555
33	Il	2517
34	In	2163
35	cui	2119
36	se	2116
37	ci	2036
38	sua	1769
39	essere	1736
40	ad	1669
41	questo	1638
42	suo	1605
43	tra	1591
44	anni	1505
45	prima	1484
46	solo	1449
47	Non	1448
48	E	1442
49	loro	1368
50	aveva	1364
51	A	1306
52	due	1242
53	perché	1207
54	sempre	1188
55	stato	1182
56	uno	1163
57	vita	1161
58	quando	1158
59	parte	1150
60	ed	1096
61	così	1072
62	sia	1071
63	Ma	1064
64	tutto	1063
65	hanno	1060
66	tutti	1057
67	quello	1056
68	poi	1042
69	tempo	1036
70	fare	1034
71	quella	1011
72	un’	993
73	ho	988
74	dopo	957
75	può	954
76	ancora	945
77	molto	942
78	È	938
79	senza	935
80	ogni	901
81	L’	887
82	questa	887
83	Per	886
84	I	863
85	fatto	861
86	d’	857
87	modo	855
88	ne	832
89	Le	827
90	ti	826
91	mia	816
92	altro	814
93	proprio	813
94	cosa	811
95	volta	792
96	mondo	772
97	altri	769
98	lui	763
99	mai	761
100	quanto	755
101	chi	753
102	già	722
103	casa	721
104	Si	715
105	lavoro	715
106	dove	707
107	mio	704
108	me	692
109	quale	681
110	stesso	681
111	quel	677
112	erano	665
113	fa	665
114	io	665
115	primo	664
116	li	638
117	suoi	614
118	far	602
119	Un	601
120	bene	598
121	stata	590
122	Se	588
123	grande	587
124	mentre	586
125	%	580
126	verso	578
127	anno	576
128	giorno	576
129	qualche	570
130	fu	544
131	caso	543
132	invece	540
133	persone	539
134	fine	525
135	Italia	524
136	n.	521
137	c’	511
138	fino	510
139	ora	506
140	vi	506
141	però	505
142	momento	503
143	meno	502
144	via	501
145	secondo	499
146	poco	498
147	quindi	491
148	tanto	484
149	punto	482
150	viene	479
151	questi	477
152	aver	475
153	tre	472
154	Una	471
155	sue	470
156	uomo	469
157	Mi	462
158	sotto	461
159	storia	459
160	infatti	458
161	lei	458
162	quasi	455
163	sarebbe	440
164	oltre	439
165	sarà	438
166	tutte	436
167	altra	434
168	nuovo	434
169	quali	434
170	Come	430
171	Da	430
172	città	430
173	attività	429
174	fosse	425
175	possono	424
176	noi	423
177	L'	420
178	volte	418
179	oggi	415
180	avere	410
181	contro	406
182	insieme	406
183	rispetto	404
184	ciò	403
185	Lo	400
186	quelle	399
187	soprattutto	393
188	possibile	391
189	occhi	390
190	un'	390
191	alcuni	387
192	dire	385
193	giorni	384
194	esempio	383
195	qui	380
196	d'	378
197	meglio	376
198	nostro	376
199	mano	372
200	particolare	371
201	abbiamo	370
202	Gli	366
203	Sono	366
204	ben	361
205	Quando	358
206	sistema	358
207	durante	357
208	base	354
209	avrebbe	353
210	cose	353
211	detto	352
212	madre	352
213	molti	349
214	padre	349
215	famiglia	346
216	queste	346
217	altre	345
218	sta	345
219	quelli	343
220	troppo	342
221	Di	341
222	deve	340
223	fra	339
224	Anche	337
225	fuori	337
226	lungo	337
227	spesso	334
228	periodo	333
229	livello	332
230	nome	332
231	nostra	332
232	tutta	332
233	attraverso	329
234	qualcosa	327
235	ricerca	326
236	importante	324
237	acqua	321
238	stessa	320
239	te	320
240	allora	318
241	stati	314
242	dati	313
243	andare	312
244	davvero	311
245	presente	311
246	po’	310
247	realtà	308
248	interno	307
249	morte	307
250	grandi	301
251	subito	301
252	donna	298
253	forma	297
254	posto	297
255	legge	296
256	politica	296
257	parole	294
258	testa	294
259	circa	289
260	società	289
261	Che	288
262	visto	288
263	dice	287
264	senso	286
265	sociale	286
266	Questo	285
267	propria	284
268	Con	283
269	almeno	281
270	forse	281
271	tuo	280
272	vero	279
273	piano	277
274	voce	277
275	c'	275
276	generale	275
277	siamo	275
278	appena	274
279	certo	274
280	decreto	273
281	grado	273
282	disse	272
283	nessuno	270
284	film	269
285	guerra	269
286	numero	269
287	tu	269
288	hai	268
289	studio	268
290	ore	267
291	Poi	266
292	articolo	266
293	avevano	266
294	uomini	265
295	corpo	264
296	ultimo	264
297	euro	263
298	bambini	261
299	va	261
300	diverse	260
301	mesi	260
302	terra	260
303	alcune	259
304	inizio	259
305	seguito	259
306	tipo	258
307	bisogno	257
308	nuova	257
309	Era	256
310	causa	256
311	forza	256
312	Roma	255
313	porta	255
314	diver	253
315	mezzo	253
316	avuto	251
317	luce	251
318	Dio	250
319	dato	250
320	idea	250
321	corso	248
322	né	248
323	età	245
324	ormai	245
325	so	243
326	Io	242
327	comunque	241
328	attenzione	240
329	fronte	240
330	scuola	240
331	sembra	240
332	Ho	238
333	tale	238
334	quattro	237
335	rischio	237
336	•	237
337	Dopo	236
338	seconda	236
339	Perché	235
340	potrebbe	235
341	avevo	234
342	niente	234
343	strada	234
344	vista	234
345	cuore	233
346	grazie	233
347	miei	232
348	processo	232
349	forte	230
350	donne	229
351	notte	229
352	pubblico	229
353	successo	229
354	Ci	228
355	conto	228
356	lì	228
357	persona	228
358	nazionale	227
359	no	227
360	fondo	226
361	milioni	226
362	amore	225
363	ruolo	225
364	tratta	225
365	libro	224
366	primi	223
367	mare	222
368	opera	222
369	male	221
370	poter	221
371	state	221
372	esperienza	220
373	luogo	220
374	termine	219
375	dare	218
376	pochi	218
377	campo	215
378	siano	215
379	mani	214
380	dunque	213
381	gruppo	213
382	sé	213
383	Europa	209
384	presidente	209
385	giovane	208
386	produzione	208
387	rapporto	205
388	sa	205
389	analisi	204
390	avanti	204
391	Consiglio	203
392	davanti	203
393	politiche	203
394	alto	202
395	possibilità	202
396	tua	202
397	vedere	202
398	mercato	201
399	effetti	200
400	centro	199
401	governo	198
402	progetto	198
403	sole	198
404	dentro	197
405	potere	196
406	prendere	196
407	mente	195
408	relazione	195
409	partire	194
410	casi	193
411	condizioni	192
412	maggiore	192
413	obiettivi	192
414	capire	191
415	sapere	191
416	sopra	191
417	abbia	190
418	buona	190
419	quei	190
420	stava	190
421	genere	189
422	passato	189
423	sei	189
424	studi	189
425	energia	188
426	unico	188
427	aria	187
428	riferimento	187
429	situazione	186
430	ambito	185
431	domanda	185
432	futuro	185
433	italiano	185
434	problema	185
435	qualcuno	185
436	serie	185
437	spazio	184
438	tempi	183
439	De	182
440	capacità	182
441	dietro	182
442	sviluppo	182
443	vuole	182
444	poteva	181
445	sguardo	181
446	difficile	180
447	letto	180
448	nemmeno	180
449	Così	179
450	Stato	179
451	Su	179
452	diritto	179
453	servizi	179
454	Tra	177
455	trovare	177
456	crisi	176
457	ero	176
458	personale	175
459	formazione	174
460	importanti	173
461	cioè	172
462	marzo	172
463	nostri	172
464	obiettivo	172
465	presso	171
466	qualità	171
467	uso	171
468	adesso	170
469	mettere	170
470	sì	170
471	Lloyd	169
472	pensiero	169
473	semplice	169
474	Stati	168
475	comma	168
476	gente	168
477	natura	168
478	necessario	168
479	ordine	168
480	sera	168
481	cinque	167
482	parlare	167
483	ultimi	167
484	Maria	166
485	aprile	166
486	molte	166
487	paura	166
488	piedi	166
489	sociali	165
490	Questa	164
491	figli	164
492	interesse	164
493	possa	164
494	risultati	164
495	valore	164
496	Cosa	163
497	data	163
498	facile	163
499	piccolo	163
500	pure	163
501	questione	163
502	sicurezza	163
503	ultima	163
504	servizio	162
505	soltanto	162
506	San	161
507	amici	161
508	col	161
509	facendo	161
510	salute	161
511	capelli	160
512	fanno	160
513	figlio	160
514	paese	160
515	piuttosto	160
516	art.	159
517	dicembre	159
518	qualsiasi	159
519	scelta	159
520	verità	159
521	minuti	158
522	presenza	158
523	saranno	158
524	alta	157
525	comunità	157
526	oppure	157
527	percorso	157
528	ragione	157
529	tanti	157
530	Milano	156
531	dovuto	156
532	giro	156
533	internazionale	156
534	spalle	156
535	struttura	156
536	Chi	155
537	VISTO	155
538	evitare	155
539	vivere	155
540	bambino	154
541	intorno	154
542	passo	154
543	Presidente	153
544	nuovi	153
545	protezione	153
546	sola	153
547	stessi	153
548	vengono	153
549	capo	152
550	lingua	152
551	arte	151
552	maggior	151
553	motivo	151
554	occasione	151
555	Ti	150
556	economia	150
557	nuove	150
