rank	word	frequency
1	ir	35086
2	kad	10836
3	į	9898
4	su	6781
5	iš	6528
6	buvo	6094
7	kaip	5521
8	tai	4298
9	yra	4221
10	o	3984
11	bet	3898
12	ar	3701
13	tik	3666
14	savo	3589
15	apie	3466
16	ne	3293
17	jis	3235
18	taip	3042
19	nuo	2866
20	jo	2648
21	dar	2598
22	ji	2487
23	kai	2426
24	jos	2338
25	jau	2286
26	per	2245
27	jų	2215
28	prie	2183
29	dėl	2093
30	po	1876
31	mano	1863
32	pat	1855
33	to	1854
34	už	1848
35	Lietuvos	1814
36	kas	1804
37	ant	1769
38	man	1755
39	nors	1702
40	ką	1648
41	nei	1645
42	būti	1642
43	aš	1559
44	metų	1556
45	m	1551
46	iki	1521
47	gali	1455
48	būtų	1419
49	jį	1418
50	labai	1350
51	Ir	1339
52	tiek	1320
53	Jis	1308
54	mūsų	1299
55	nes	1292
56	jie	1287
57	O	1283
58	Tai	1281
59	vis	1246
60	bei	1241
61	čia	1229
62	Bet	1223
63	kur	1209
64	net	1194
65	ją	1144
66	arba	1134
67	mane	1132
68	daugiau	1128
69	prieš	1114
70	turi	1089
71	tačiau	1048
72	kurie	1017
73	metu	1017
74	nėra	1013
75	dabar	1002
76	Ji	992
77	jam	991
78	bus	986
79	darbo	975
80	Tačiau	971
81	be	966
82	daug	926
83	vienas	883
84	kuris	863
85	jog	860
86	jei	854
87	tarp	827
88	galima	814
89	Taip	795
90	jai	770
91	Aš	759
92	todėl	753
93	Kai	751
94	metais	745
95	nė	744
96	tą	743
97	Ar	734
98	vėl	727
99	žmonių	722
100	tada	720
101	Kaip	718
102	ten	715
103	visi	715
104	kiek	713
105	kurios	702
106	juos	698
107	nieko	696
108	kartą	687
109	Rusijos	684
110	vieną	684
111	mes	678
112	reikia	678
113	tuo	671
114	tam	662
115	nebuvo	657
116	Iš	641
117	kuri	605
118	viena	605
119	dieną	604
120	kol	604
121	metus	602
122	valstybės	598
123	tas	591
124	toliau	589
125	visada	575
126	žmonės	571
127	lyg	563
128	kurių	560
129	gal	557
130	kitų	549
131	visą	547
132	kartu	546
133	pats	545
134	laiko	544
135	pagal	542
136	Lietuvoje	538
137	ko	536
138	turėjo	536
139	labiau	534
140	tarsi	530
