rank	word	frequency
1	të	74802
2	e	56500
3	në	30984
4	dhe	23994
5	i	22863
6	me	15695
7	për	14986
8	që	14922
9	një	14722
10	më	10213
11	nga	9525
12	se	7606
13	nuk	6946
14	u	6581
15	si	6301
16	është	6107
17	së	5719
18	edhe	4802
19	do	4593
20	ka	4318
21	ishte	3433
22	shumë	3348
23	por	3042
24	kishte	2957
25	tij	2854
26	mund	2833
27	Në	2801
28	duke	2791
29	janë	2709
30	po	2419
31	këtë	2286
32	tyre	2285
33	kur	2024
34	kanë	2009
35	ai	1992
36	saj	1892
37	ku	1795
38	pa	1768
39	vetëm	1720
40	prej	1709
41	parë	1700
42	atë	1626
43	pas	1554
44	ose	1551
45	apo	1537
46	gjithë	1503
47	duhet	1487
48	ajo	1445
49	mbi	1403
50	sa	1392
51	dy	1387
52	jo	1323
53	disa	1303
54	kjo	1287
55	te	1273
56	tjetër	1212
57	mirë	1201
58	gjatë	1187
59	E	1181
60	ato	1072
61	bërë	1060
62	ishin	1059
63	qenë	1030
64	tjera	999
65	këto	983
66	unë	966
67	deri	962
68	çdo	962
69	Por	953
70	pak	947
71	herë	945
72	ata	934
73	mos	932
74	Për	928
75	ne	912
76	gjitha	898
77	para	895
78	as	884
79	kohë	879
80	Një	851
81	tha	849
82	Të	827
83	Nuk	815
84	kishin	805
85	jetë	802
86	Kjo	795
87	ndaj	793
88	sepse	773
89	fundit	766
90	cilat	759
91	Ai	753
92	na	730
93	mënyrë	728
94	Më	725
95	ndonjë	702
96	siç	700
97	Po	699
98	cili	693
99	I	688
100	kësaj	687
101	Shqipërisë	680
102	kam	677
103	ditë	676
104	aq	673
105	vitin	659
106	marrë	656
107	vend	650
108	ky	649
109	vitit	649
110	madhe	644
111	ndryshme	637
112	vetë	637
113	nëse	618
114	shqiptare	618
115	cila	615
116	pjesë	613
117	sipas	606
118	ashtu	601
119	ju	597
120	Me	594
121	Shqipëri	592
122	brenda	589
123	mes	589
124	tek	586
125	kemi	578
126	pse	577
127	Dhe	575
128	rreth	572
129	pasi	566
130	sot	566
131	të	565
132	politike	558
133	re	556
134	ndërsa	547
135	këtij	543
136	tonë	534
137	gjë	533
138	ta	528
139	midis	522
140	madh	521
141	lartë	520
142	kisha	516
143	fund	513
144	tani	506
145	Ajo	501
146	U	495
147	asnjë	487
148	sikur	481
149	Kur	479
150	Edhe	475
151	pasur	470
152	kështu	468
153	tillë	464
154	Nga	457
155	etj	455
156	ti	454
157	thotë	446
158	Ky	436
159	cilët	436
160	nën	436
161	Si	434
162	ende	433
163	çfarë	433
164	shqiptar	426
165	aty	422
166	shkak	420
167	fjalë	415
168	jashtë	414
169	këtu	411
170	njohur	410
171	a	409
172	asaj	407
173	drejt	403
174	tjerë	397
175	nëpër	393
176	vërtetë	393
177	punë	391
178	sytë	390
179	vogël	388
180	qe	387
181	vendit	382
182	përpara	374
183	Ishte	369
184	Unë	367
185	këtyre	366
186	gjithashtu	364
187	tepër	364
188	bënte	357
189	bëhet	352
190	diçka	349
191	ri	348
192	reja	345
193	dhënë	344
194	viteve	344
195	mëdha	340
196	vonë	340
197	ketë	339
198	kryesore	338
199	Shqipëria	337
200	fetare	337
201	mua	337
202	duhej	336
203	jetën	335
204	njerëzit	333
205	thënë	333
206	lidhje	331
207	Është	331
208	pranë	329
209	veten	329
210	jetës	328
211	kundër	328
212	di	325
213	tim	323
