rank	word	frequency
1	کے	35191
2	میں	30422
3	کی	29604
4	اور	21686
5	سے	21022
6	ہے	20808
7	کا	15987
8	اس	14642
9	کو	13853
10	نے	13755
11	پر	10454
12	کہ	10409
13	ہیں	9655
14	بھی	8965
15	کر	8827
16	ایک	7621
17	تھا	7334
18	نہیں	6471
19	وہ	6455
20	یہ	6129
21	ان	6104
22	کیا	5851
23	تو	5825
24	ہو	5152
25	ہی	4101
26	تھی	4038
27	تھے	3723
28	گیا	3403
29	جو	3283
30	اپنے	3214
31	لیے	3154
32	و	3032
33	کرنے	2864
34	ساتھ	2712
35	نہ	2676
36	آپ	2530
37	ہوئے	2378
38	تک	2351
39	اپنی	2347
40	کہا	2270
41	جس	2259
42	دیا	2247
43	کوئی	2229
44	کسی	2136
45	یا	2095
46	ہم	2053
47	بعد	2040
48	ہوا	2024
49	بہت	2010
50	ہوں	1978
51	پاکستان	1929
52	کچھ	1920
53	لیکن	1886
54	بات	1875
55	کرتے	1805
56	اسے	1803
57	جب	1781
58	طرح	1774
59	گئی	1714
60	رہے	1699
61	پھر	1686
62	رہا	1671
63	گا	1669
64	لئے	1639
65	سب	1612
66	اب	1573
67	ہوئی	1558
68	گئے	1552
69	وقت	1505
70	مجھے	1455
71	ہونے	1448
72	زیادہ	1441
73	والے	1403
74	طرف	1357
75	رہی	1346
76	جائے	1345
77	ہر	1340
78	بے	1335
79	دی	1329
80	ہوتا	1320
81	گے	1275
82	گی	1269
83	کام	1267
84	اگر	1195
85	طور	1169
86	پہلے	1154
87	انہوں	1149
88	جا	1129
89	مگر	1120
90	دو	1111
91	میرے	1101
92	تھیں	1072
93	جاتا	1067
94	ہوتی	1063
95	نظر	1050
96	زندگی	1046
97	لے	1042
98	نام	1028
99	کرنا	1028
100	کم	1027
101	گھر	1018
102	اسی	1003
103	صرف	995
104	استعمال	980
105	میری	973
106	وجہ	966
107	سال	950
108	سی	940
109	تم	915
110	والی	911
111	حاصل	907
112	پیش	887
113	ملک	885
114	دونوں	883
115	دنیا	882
116	انہیں	880
117	اللہ	872
118	تمام	867
119	صاحب	848
120	دے	847
121	جن	839
122	جانے	833
123	کرتا	833
124	دن	822
125	دور	813
126	خود	806
127	سامنے	784
128	جیسے	778
129	کریں	778
130	پاس	775
131	یہاں	773
132	ہوتے	770
133	لیا	769
134	حکومت	762
135	مطابق	757
136	شروع	756
137	آج	747
138	بن	746
139	بار	735
140	بڑی	731
141	سکتا	731
142	جاتی	727
143	لوگوں	717
144	پی	713
145	ہمارے	707
146	جہاں	702
147	لوگ	701
148	آ	699
149	خان	698
150	آئی	697
151	دوسرے	694
152	کئی	692
153	موجود	690
154	دل	688
155	علی	679
156	شامل	676
157	پیدا	668
158	جانب	667
159	لگا	660
160	عمل	659
161	دیکھا	653
162	بلکہ	652
163	مختلف	648
164	اپنا	643
165	کیلئے	639
166	بڑے	633
167	ایسا	632
168	ایسے	631
169	ہاتھ	628
170	کرتی	618
171	سر	612
172	تعلیم	606
173	زبان	605
174	تا	603
175	بارے	588
176	آیا	584
177	حوالے	584
178	وہاں	584
179	دیکھ	581
180	وزیر	577
181	کیوں	571
182	جان	570
183	جاتے	569
184	کبھی	562
185	دوران	558
186	اردو	551
187	ہمیں	548
188	خیال	546
189	سکتے	545
190	اعظم	540
191	کتاب	539
